_name_key,name_en,source,external_source_id,source_category,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g
milk whole 3 25 milkfat with added vitamin d,"Milk, whole, 3.25% milkfat, with added vitamin D",USDA_FDC_FOUNDATION,1077,Dairy and Egg Products,EGGS,60.0,3.27,4.63,3.2
milk whole 3 25 milkfat with added vitamin d,"Milk, whole, 3.25% milkfat, with added vitamin D",USDA_FDC_SR_LEGACY,1077,Dairy and Egg Products,EGGS,61.0,3.15,4.8,3.25
mushroom lion s mane,"Mushroom, lion's mane",USDA_FDC_FOUNDATION,1750344,Vegetables and Vegetable Products,VEGETABLE,35.11,2.5,7.59,0.26
mushroom lion s mane,"Mushroom, lion's mane",USDA_FDC_FOUNDATION,100259,Vegetables and Vegetable Products,VEGETABLE,35.11,2.5,7.59,0.26
mushroom oyster,"Mushroom, oyster",USDA_FDC_FOUNDATION,1750345,Vegetables and Vegetable Products,VEGETABLE,33.32,2.9,6.94,0.19
mushroom oyster,"Mushroom, oyster",USDA_FDC_FOUNDATION,11987,Vegetables and Vegetable Products,VEGETABLE,33.32,2.9,6.94,0.19
mushrooms shiitake,"Mushrooms, shiitake",USDA_FDC_FOUNDATION,1750346,Vegetables and Vegetable Products,VEGETABLE,36.39,2.41,8.17,0.2
mushrooms shiitake,"Mushrooms, shiitake",USDA_FDC_FOUNDATION,11238,Vegetables and Vegetable Products,VEGETABLE,36.39,2.41,8.17,0.2
mushrooms white button,"Mushrooms, white button",USDA_FDC_FOUNDATION,1750347,Vegetables and Vegetable Products,VEGETABLE,24.87,2.89,4.08,0.37
mushrooms white button,"Mushrooms, white button",USDA_FDC_FOUNDATION,11260,Vegetables and Vegetable Products,VEGETABLE,24.87,2.89,4.08,0.37
mustard prepared yellow,"Mustard, prepared, yellow",USDA_FDC_FOUNDATION,2046,Spices and Herbs,CONDIMENTS,61.0,4.25,5.3,3.38
mustard prepared yellow,"Mustard, prepared, yellow",USDA_FDC_SR_LEGACY,2046,Spices and Herbs,CONDIMENTS,60.0,3.74,5.83,3.34
nectarines raw,"Nectarines, raw",USDA_FDC_FOUNDATION,9191,Fruits and Fruit Juices,FRUIT,39.0,1.06,9.18,0.28
nectarines raw,"Nectarines, raw",USDA_FDC_SR_LEGACY,9191,Fruits and Fruit Juices,FRUIT,44.0,1.06,10.55,0.32
nuts almonds dry roasted with salt added,"Nuts, almonds, dry roasted, with salt added",USDA_FDC_FOUNDATION,12563,Nut and Seed Products,NUTS_SEEDS,621.0,20.4,16.2,57.8
nuts almonds dry roasted with salt added,"Nuts, almonds, dry roasted, with salt added",USDA_FDC_SR_LEGACY,12563,Nut and Seed Products,NUTS_SEEDS,598.0,20.96,21.01,52.54
nuts cashew nuts raw,"Nuts, cashew nuts, raw",USDA_FDC_FOUNDATION,12087,Nut and Seed Products,NUTS_SEEDS,533.48,17.44,36.29,38.86
nuts cashew nuts raw,"Nuts, cashew nuts, raw",USDA_FDC_SR_LEGACY,12087,Nut and Seed Products,NUTS_SEEDS,553.0,18.22,30.19,43.85
nuts macadamia nuts raw,"Nuts, macadamia nuts, raw",USDA_FDC_FOUNDATION,12131,Nut and Seed Products,NUTS_SEEDS,668.54,7.79,24.09,64.93
nuts macadamia nuts raw,"Nuts, macadamia nuts, raw",USDA_FDC_SR_LEGACY,12131,Nut and Seed Products,NUTS_SEEDS,718.0,7.91,13.82,75.77
nuts pistachio nuts raw,"Nuts, pistachio nuts, raw",USDA_FDC_FOUNDATION,12151,Nut and Seed Products,NUTS_SEEDS,560.69,20.51,27.69,45.02
nuts pistachio nuts raw,"Nuts, pistachio nuts, raw",USDA_FDC_SR_LEGACY,12151,Nut and Seed Products,NUTS_SEEDS,560.0,20.16,27.17,45.32
oil coconut,"Oil, coconut",USDA_FDC_FOUNDATION,4047,Fats and Oils,FATS_OILS,833.0,0.0,0.84,99.1
oil coconut,"Oil, coconut",USDA_FDC_SR_LEGACY,4047,Fats and Oils,FATS_OILS,892.0,0.0,0.0,99.06
onion rings breaded par fried frozen prepared heated in oven,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",USDA_FDC_FOUNDATION,11296,Vegetables and Vegetable Products,VEGETABLE,289.0,4.52,36.3,14.4
onion rings breaded par fried frozen prepared heated in oven,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",USDA_FDC_SR_LEGACY,11296,Vegetables and Vegetable Products,VEGETABLE,276.0,4.14,33.79,14.3
oranges raw navels includes foods for usda s food distribution program,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",USDA_FDC_FOUNDATION,327501,Fruits and Fruit Juices,FRUIT,47.0,0.91,11.8,0.15
oranges raw navels includes foods for usda s food distribution program,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",USDA_FDC_SR_LEGACY,9202,Fruits and Fruit Juices,FRUIT,49.0,0.91,12.54,0.15
pancakes whole wheat dry mix incomplete,"Pancakes, whole wheat, dry mix, incomplete",USDA_FDC_SR_LEGACY,28324,Baked Products,OTHER,350.0,10.53,74.11,1.32
pancakes whole wheat dry mix incomplete,"Pancakes, whole-wheat, dry mix, incomplete",USDA_FDC_SR_LEGACY,18299,Baked Products,OTHER,344.0,12.8,71.0,1.5
