name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at
"Beverages, Fruit flavored drink containing less than 3% fruit juice, with high vitamin C",,,BEVERAGES,27.0,0.0,6.67,0.0,,USDA_FDC_SR_LEGACY,14646,2018-04,True,
"Beverages, Fruit flavored drink, less than 3% juice, not fortified with vitamin C",,,BEVERAGES,64.0,0.0,16.03,0.0,,USDA_FDC_SR_LEGACY,14645,2018-04,True,
"Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit juice, high vitamin C, added calcium",,,BEVERAGES,29.0,0.0,6.67,0.37,,USDA_FDC_SR_LEGACY,14647,2018-04,True,
"Beverages, Fruit punch drink, frozen concentrate",,,BEVERAGES,162.0,0.2,41.4,0.0,,USDA_FDC_SR_LEGACY,14268,2018-04,True,
"Beverages, Fruit punch drink, frozen concentrate, prepared with water",,,BEVERAGES,46.0,0.06,11.66,0.0,,USDA_FDC_SR_LEGACY,14269,2018-04,True,
"Beverages, Fruit punch drink, with added nutrients, canned",,,BEVERAGES,47.0,0.0,11.94,0.0,,USDA_FDC_SR_LEGACY,14267,2018-04,True,
"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG (Gerolsteiner), naturally sparkling, mineral bottled water",,,BEVERAGES,0.0,0.0,0.0,0.0,,USDA_FDC_SR_LEGACY,14082,2018-04,True,
"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG,Gerolsteiner naturally sparkling mineral water,",,,BEVERAGES,0.0,0.0,0.0,0.0,,USDA_FDC_SR_LEGACY,14075,2018-04,True,
"Beverages, Horchata, as served in restaurant",,,BEVERAGES,54.0,0.48,11.52,0.71,,USDA_FDC_SR_LEGACY,14638,2018-04,True,
"Beverages, KRAFT, coffee, instant, French Vanilla Cafe",,,BEVERAGES,481.0,2.5,74.6,19.2,,USDA_FDC_SR_LEGACY,14231,2018-04,True,
"Beverages, Kiwi Strawberry Juice Drink",,,BEVERAGES,47.0,0.0,12.26,0.0,,USDA_FDC_SR_LEGACY,14161,2018-04,True,
"Beverages, LIPTON BRISK, tea, black, ready-to-drink, lemon",,,BEVERAGES,35.0,0.0,8.81,0.0,,USDA_FDC_SR_LEGACY,14476,2018-04,True,
"Beverages, Lemonade fruit juice drink light, fortified with vitamin E and C",,,BEVERAGES,21.0,0.0,5.0,0.0,,USDA_FDC_SR_LEGACY,14174,2018-04,True,
